,Unnamed: 0,id,screen_name,description,created_at,location,is_verified,latest_following_count,latest_followers_count,latest_status_count,array_agg,num_tweets
408,408,3686482216,RepLaHood,Proudly representing the 18th Congressional District of Illinois.,2015-09-17 14:16:48,IL-18 Congressional District,t,317,4672,585,"{congressperson,republican,republican}",592.0
409,409,816157667882373120,RepCarbajal,Proudly representing California's 24th Congressional District.,2017-01-03 05:42:06,,t,577,2286,106,"{congressperson,democrat}",111.0
410,410,216503958,SenDonnelly,U.S. Senator Joe Donnelly's communications staff,2010-11-16 22:24:01,,t,212,45602,4145,"{senator,democrat,democrat}",3587.0
411,411,26637348,TulsiGabbard,Soldier. Veteran. Surfer. Member of Congress. Doing my best to be of service.,2009-03-26 00:14:32,Hawai'i,t,3180,134037,6470,"{congressperson,democrat,democrat}",3479.0
412,412,264219447,SenatorWicker,U.S. Senator for Mississippi. Please visit my website for updates.,2011-03-11 14:59:01,"Mississippi & Washington, DC",t,290,40178,3072,"{republican,senator,republican}",3093.0
413,413,168673083,repdavidscott,"Representing Georgia's 13th Congressional District including Cobb, Douglas, Fayette, Fulton, Clayton, and Henry Counties.",2010-07-20 14:10:32,Georgia,t,1627,13505,2417,"{congressperson,democrat,democrat}",2415.0
414,414,15160884,Randy_Forbes,Representing Virginia's Fourth Congressional District. (Following a group or person does not indicate support or endorsement of their beliefs or opinions.),2008-06-18 18:32:37,,t,4860,20388,3320,"{congressperson,republican}",3227.0
415,415,224285242,SenBennetCO,U.S. Senator for Colorado,2010-12-08 16:29:29,Colorado,t,230,46804,1519,"{senator,democrat,democrat}",1542.0
416,416,816298918468259841,RepRoKhanna,"Ro Khanna, US representative for #CA17 in Silicon Valley. Working to bring tech jobs in my district & across America. No contributions from PACs, lobbyists.",2017-01-03 15:03:23,"Silicon Valley, CA",t,117,3219,553,"{congressperson,democrat}",609.0
417,417,2975091705,CongressmanHice,I'm honored to serve Georgia's 10th Congressional District.,2015-01-12 18:48:35,"Monroe, GA; Washington, D.C.",t,723,5555,1106,"{congressperson,republican,republican}",1119.0
418,418,851621377,JimPressOffice,"Press Office of Congressman Jim Sensenbrenner, representing Wisconsin's Fifth District. Former Chair of House Judiciary Committee.",2012-09-28 19:31:33,,t,590,4409,975,"{congressperson,republican,republican}",992.0
419,419,18061669,lisamurkowski,Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,2008-12-11 21:55:19,"Alaska & Washington, D.C.",t,538,59944,4320,"{senator,republican,republican}",3481.0
420,420,1321432124,WolfForPA,Official account of Tom Wolf for Governor. Tweets from Tom Wolf are signed -TW.,2013-04-02 00:29:01,Pennsylvania,f,540,16178,1832,"{governor,democrat}",1831.0
421,421,80612021,JacksonLeeTX18,"Official Twitter account for Congresswoman Sheila Jackson Lee, Representing Texas' 18th Congressional District in the U.S. House of Representatives.",2009-10-07 16:13:13,"Houston, TX",t,2032,34848,4297,"{congressperson,democrat,democrat}",3573.0
422,422,15356407,RobWittman,"proud husband, father, grandfather; humble Rep. of VA's 1st District; Seapower and Projection Forces Subcommittee Chair; advocate of sportsman-led conservation",2008-07-08 18:25:49,,t,6906,22767,4570,"{congressperson,republican,republican}",3248.0
423,423,15751083,michaelcburgess,"Congressman for Texas' 26th District, M.D. (Ob/Gyn) in my former life",2008-08-06 15:25:19,"Washington, D.C.",t,1713,22387,4711,"{congressperson,republican,republican}",3450.0
424,424,1080509366,RepBillFoster,Congressman Bill Foster is a scientist and businessman representing the 11th Congressional District of Illinois,2013-01-11 18:17:11,"Naperville, IL ",t,1959,11831,2276,"{congressperson,democrat,democrat}",2279.0
425,425,2730150631,RepCurtClawson,Member of Congress (FL-19),2014-08-13 19:15:51,"Bonita Springs, FL",t,79,2972,1190,"{congressperson,republican}",1190.0
426,426,242892689,nikiinthehouse,"Proudly representing the families of the Massachusetts 3rd District.

More info at: http://t.co/mp6QlRchln",2011-01-25 20:57:25,,t,1593,16135,5326,"{congressperson,democrat,democrat}",3497.0
427,427,817050219007328258,RepBRochester,Official Twitter page for U.S. Representative Lisa Blunt Rochester (D-DE). Tweets from Rep. Blunt Rochester signed -LBR.,2017-01-05 16:48:47,"Delaware, USA - Washington, DC",t,223,1707,73,"{congressperson,democrat}",77.0
428,428,816719802328715264,RepLizCheney,"Official Page of Congressman Liz Cheney, proudly representing the people of Wyoming.",2017-01-04 18:55:49,"Wyoming, USA",t,8,1305,50,"{congressperson,republican}",54.0
429,429,1068499286,RepDennyHeck,"Proudly representing #WA10 in U.S. Congress. Husband, (gran)dad, @GonzagaBulldogs fan & #12thMan. Care about veterans, family-wage jobs & economic growth.",2013-01-07 14:55:36,"South Puget Sound, WA",t,1414,12124,2538,"{congressperson,democrat,democrat}",2560.0
430,430,3353670647,RepDanDonovan,Representing Staten Island and Brooklyn in NY's 11th Congressional District,2015-07-01 19:06:08,"Staten Island, NY",f,325,1861,993,"{congressperson,republican,republican}",1012.0
431,431,18030431,JudgeCarter,U.S. Congressman proudly serving the 31st District of Texas. Former Judge. Proud @TexasTech Red Raider.,2008-12-10 21:00:58,#TX31 ,t,643,12991,5230,"{congressperson,republican,republican}",3410.0
432,432,15442036,SenatorBoxer,U.S. Senator Barbara Boxer of California.,2008-07-15 16:02:13,"Washington, D.C.",t,155,134166,2231,"{senator,democrat}",2228.0
433,433,584912320,LacyClayMO1,"Official Campaign Twitter Account of Lacy Clay for Congress. US Rep, Missouri 1st District. R/Ts & links are not endorsements.",2012-05-19 16:41:06,"St. Louis, MO",f,2235,6516,3738,"{congressperson,democrat,democrat}",3765.0
434,434,2482022082,USRepDavidJolly,Honored to have served as U.S. Representative for Florida's 13th Congressional District. This account now inactive. Follow me on personal account @DavidJollyFL.,2014-05-07 12:35:31,"Indian Shores, FL",t,309,4791,1803,"{congressperson,republican}",1802.0
435,435,237944147,RepFitzpatrick,Proudly representing #PA8 in the US House of Representatives. Husband. Dad. @Eagles fan.      #BetterJobsMoreOpportunity,2011-01-14 00:38:49,"Langhorne, PA",t,1104,12979,5254,"{congressperson,republican}",3256.0
436,436,23951197,aaronschock,,2009-03-12 14:04:15,"Peoria, IL",t,903,27754,2510,"{congressperson,republican}",2492.0
437,437,60688326,GovHerbert,Proudly serving as the 17th governor of the great state of Utah.  Facebook: https://t.co/2ErGDynzXW #utpol,2009-07-27 19:38:06,Utah,t,463,23903,5024,"{governor,republican}",3534.0
438,438,818713465653051392,RepDarrenSoto,Official Account. Congressman Representing Florida's 9th District - Central Florida.,2017-01-10 06:57:55,"Kissimmee, Florida ",t,613,1526,161,"{congressperson,democrat}",176.0
439,439,2962891515,RepAbraham,"Proudly representing Louisiana's 5th District. Rural family physician, veteran, farmer, pilot, former veterinarian, husband, father & grandfather.",2015-01-05 23:01:54,,t,99,4791,302,"{congressperson,republican,republican}",304.0
440,440,7429102,MarkWarner,"Senior U.S. Senator, Va. Vice Chairman, Intel Committee. Previous: Serial entrepreneur, business guy, His Excellency the 69th Governor of the Commonwealth of Va",2007-07-12 14:03:33,Virginia,t,11087,116678,5292,"{senator,democrat,democrat}",3485.0
441,441,267854863,RepRichmond,Representing the 2nd Congressional District of Louisiana and the Who Dat Nation.,2011-03-17 17:30:45,,t,861,17531,1988,"{congressperson,democrat,democrat}",1993.0
442,442,239905257,USRepRHinojosa,Proudly representing the 15th Congressional District of Texas,2011-01-18 18:13:06,,t,513,11734,2126,"{congressperson,democrat}",2125.0
443,443,138770045,RepJohnConyers,"Official Twitter account for Congressman John Conyers, Jr., Rep. of Michigan's 13th Congressional District. For Jobs, Justice & Peace. | RTs ≠ Endorsements",2010-04-30 14:49:06,Detroit/Washington D.C. ,t,833,32772,2498,"{congressperson,democrat,democrat}",2528.0
444,444,1140648348,RepDWStweets,U.S. Congresswoman proudly representing the people of Florida's 23rd District in our nation's capital.,2013-02-01 20:31:25,Weston & Washington,t,2333,9496,2623,"{congressperson,democrat,democrat}",2649.0
445,445,2968007206,RepDeSaulnier,Honored to represent California's 11th Congressional District. Serving on the House Education and Workforce and Oversight and Government Reform Committees.,2015-01-08 15:32:13,"Concord, CA ",t,331,8913,1178,"{congressperson,democrat,democrat}",1187.0
446,446,2891210047,SenDanSullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,2014-11-05 21:25:42,,t,532,8986,1468,"{senator,republican,republican}",1483.0
447,447,237763317,RepHartzler,"I serve the hardworking Missourians of #MO4. Working to reduce big govt. burden & unleash American spirit. On Armed Services, Agriculture, Budget Committees",2011-01-13 15:38:52,"Harrisonville, Missouri",t,937,14231,5068,"{congressperson,republican,republican}",3550.0
448,448,2976598347,RepMiaLove,"Official account for Congresswoman Mia Love, Utah's 4th District",2015-01-13 15:44:28,"Saratoga Springs, UT",t,198,13401,613,"{congressperson,republican,republican}",619.0
449,449,148006729,RepRobBishop,,2010-05-25 16:02:26,Brigham City or D.C.,f,95,2363,0,"{congressperson,republican,republican}",
450,450,2932617195,RepPoliquin,Proudly Serving Maine's Second Congressional District,2014-12-19 21:32:47,,t,342,4660,1012,"{congressperson,republican,republican}",1017.0
451,451,1267940407,SenKaineOffice,Official twitter account for the office of U.S. Senator Tim Kaine of Virginia,2013-03-14 20:33:03,,t,211,5583,436,"{senator,democrat,democrat}",436.0
452,452,3058189305,repjustinamash,,2015-02-24 06:06:26,,f,0,0,0,"{congressperson,republican,republican}",
453,453,2965083477,RepRodBlum,Official Account Of Iowa's 1st District Congressman Rod Blum. Member of @GOPoversight & @HouseSmallBiz #IA01,2015-01-06 22:59:49,Northeast Iowa,t,2117,6418,1515,"{congressperson,republican,republican}",1530.0
454,454,43910797,SenSherrodBrown,Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.,2009-06-01 16:07:45,Ohio/Washington D.C.,t,165,107390,2797,"{democrat,senator,democrat}",2823.0
455,455,1134292500,RepBetoORourke,US Congress - El Paso,2013-01-30 14:52:51,"El Paso, TX",t,280,23439,3621,"{congressperson,democrat,democrat}",3405.0
456,456,76132891,CongMikeSimpson,U.S. Congressman from Idaho's 2nd Congressional District,2009-09-21 20:26:26,"Washington, D.C. ",t,79,7998,456,"{congressperson,republican,republican}",456.0
457,457,2869746172,repdavetrott,"Dad, husband, lifelong resident of Southeast Michigan and Representative for Michigan's 11th District.",2014-11-09 22:42:17,,t,214,5619,293,"{congressperson,republican,republican}",299.0
458,458,82649553,repdonnaedwards,Congresswoman representing Maryland's 4th Congressional District,2009-10-15 16:04:37,"Washington, D.C. ",t,4100,28139,6398,"{congressperson,democrat}",3224.0
459,459,2293131060,RepKClark,Proudly representing the people of the 5th District of Massachusetts.,2014-01-15 18:53:47,,t,995,30592,2861,"{congressperson,democrat,democrat}",2877.0
460,460,1262814457,RepTimWalz,"Teacher, Football Coach, Command Sgt. Major Proudly Representing Minnesota's 1st Congressional District; Ranking Member of House @VetAffairsDems",2013-03-12 20:27:45,,t,1064,6921,1379,"{congressperson,democrat,democrat}",1421.0
461,461,235251868,RepKristiNoem,"I'm South Dakota's lone Member of the U.S. House of Representatives. I live in Castlewood, SD with my husband Bryon and three kids Kassidy, Kennedy & Booker.",2011-01-07 18:44:34,,t,340,20910,3937,"{congressperson,republican,republican}",3533.0
462,462,1092979962,RepCheri,Serving Illinois' 17th District. Wife & mother of 3 boys. Athlete. Former reporter. Fighter for better government. CoChair of DPCC. Facebook & Snapchat RepCheri,2013-01-15 19:15:03,"Illinois & Washington, D.C.",t,6944,17620,2256,"{congressperson,democrat,democrat}",2287.0
463,463,254082173,RepJoeWilson,Official Twitter account for Congressman Joe Wilson (SC-02). Grateful to serve as Chairman of the HASC Subcommittee on Readiness,2011-02-18 15:18:45,,t,346,9072,1248,"{congressperson,republican,republican}",1278.0
464,464,137407124,Westmoreland_GA,Former U.S. Representative for Georgia's Third Congressional District.,2010-04-26 17:19:38,,f,901,12878,4166,"{congressperson,republican}",3251.0
465,465,816282029276938240,RepKihuen,U.S. Representative proudly serving Nevada's 4th Congressional District. #NV04,2017-01-03 13:56:16,"Las Vegas, NV",t,106,6109,516,"{congressperson,democrat}",566.0
466,466,229592356,KellyAyotte,"Born & raised in Nashua. Wife, mom to Kate & Jake, runner for fun, NH's first female attorney general, former U.S. Senator for New Hampshire. #LFOD",2010-12-22 20:20:15,,t,1530,62880,9575,"{senator,republican}",3356.0
467,467,73303753,SenBobCorker,Official news and updates from United States Senator Bob Corker (R-Tennessee) and his staff.,2009-09-11 03:56:08,Tennessee,t,537,87170,3451,"{republican,senator,republican}",3471.0
468,468,23970171,TomRooney,Proudly represent Florida's 17th District in the U.S. House of Representatives. Husband & father of 3 sons. RT ≠ endorsement.,2009-03-12 15:44:41,,t,3882,18060,2721,"{congressperson,republican,republican}",2723.0
469,469,60828944,SenatorTomUdall,United States Senator from New Mexico.,2009-07-28 06:10:29,Santa Fe and Washington,t,337,47231,3566,"{senator,democrat,democrat}",3605.0
470,470,1089334250,RepAndyBarr,Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington,2013-01-14 15:29:49,"Lexington, KY",t,1203,10547,2427,"{congressperson,republican,republican}",2425.0
471,471,246341769,Raul_Labrador,Proudly serving Idaho's beautiful 1st Congressional District.,2011-02-02 16:26:52,"Eagle, Idaho",t,658,15696,1724,"{congressperson,republican,republican}",1743.0
472,472,234837632,RepRobertHurt,Former U.S. Representative for Virginia's Fifth District https://t.co/jbrBps97xV,2011-01-06 18:01:58,,t,665,15990,2628,"{congressperson,republican}",2627.0
473,473,16160352,clairecmc,,2008-09-06 20:20:45,Missouri/ Washington DC,t,16,177836,4199,"{democrat,senator,democrat}",3460.0
474,474,798973032362606600,RepValDemings,U.S. Representative Florida's 10th Congressional District. Public Servant. Former Orlando Police Chief. Christian. Wife. Mother. Grandmother. Harley Enthusiast.,2016-11-16 19:36:29,"Washington, DC I Orlando, FL",t,159,2719,403,"{congressperson,democrat}",430.0
475,475,942156122,RepSwalwell,I rep SF Bay Area in the U.S. Congress. Senior Democrat overseeing @cia on @HouseIntelComm. Connecting #TrumpRussia dots at: https://t.co/vsiNd80qVn,2012-11-11 20:26:01,"East Bay, CA & DC (CA-15)",t,6697,58291,7959,"{congressperson,democrat,democrat}",4258.0
476,476,3091316093,teammoulton,The Office of Congressman Seth Moulton (D-MA),2015-03-13 14:26:54,"Salem, MA ",t,3144,5032,3034,"{congressperson,democrat,democrat}",3039.0
477,477,1074480192,SenTedCruz,Representing the State of Texas in the United States Senate.,2013-01-09 18:11:37,"Houston, Texas",t,7489,931263,5697,"{senator,republican,republican}",4140.0
478,478,2863210809,sendavidperdue,Official Twitter account for U.S. Senator David Perdue of Georgia.,2014-11-05 20:58:02,Georgia,t,928,17404,2193,"{senator,republican,republican}",2219.0
479,479,132201224,RepJimMcDermott,Proudly serving Washington State's 7th Congressional District,2010-04-12 15:27:16,,t,1294,16122,1893,"{congressperson,democrat}",1893.0
